order_id,order_date,customer_id,product_id,product_name,quantity,unit_price,currency,status,total_amount
1001,2025-01-15,501,78,Wireless Mouse,2,19.99,USD,shipped,39.98
1002,2025-01-16,502,79,Gaming Keyboard,1,49.99,USD,pending,49.99
1003,2025-01-17,503,80,USB-C Hub,3,29.99,USD,returned,89.97
1004,2025-01-17,504,81,Laptop Stand,1,39.99,USD,shipped,39.99
1005,2025-01-18,505,82,Noise Cancelling Headphones,1,89.99,USD,cancelled,89.99
1006,2025-01-18,506,83,Webcam HD,2,45.99,USD,shipped,91.98
1007,2025-01-19,507,84,Portable SSD 1TB,1,129.99,USD,pending,129.99
1008,2025-01-19,508,85,Ergonomic Chair,1,199.99,USD,shipped,199.99
1009,2025-01-20,509,86,"Monitor 24""",2,139.99,USD,shipped,279.98
1010,2025-01-20,510,87,Wireless Charger,4,24.99,USD,returned,99.96
1011,2025-01-21,511,88,Mechanical Keyboard,1,79.99,USD,shipped,79.99
1012,2025-01-21,512,89,Stylus Pen,2,15.99,USD,pending,31.98
1013,2025-01-22,513,90,Laptop Backpack,1,59.99,USD,shipped,59.99
1014,2025-01-22,514,91,HDMI Cable,3,9.99,USD,cancelled,29.97
1015,2025-01-23,515,92,Graphic Tablet,1,149.99,USD,shipped,149.99
1016,2025-01-23,516,93,Smartwatch,2,199.99,USD,pending,399.98
1017,2025-01-24,517,94,VR Headset,1,299.99,USD,shipped,299.99
1018,2025-01-24,518,95,Desk Lamp LED,2,34.99,USD,shipped,69.98
1019,2025-01-25,519,96,Smartphone Stand,3,11.99,USD,returned,35.97
1020,2025-01-25,520,97,USB Drive 64GB,5,12.99,USD,shipped,64.95
1021,2025-01-26,521,98,Bluetooth Speaker,1,59.99,USD,cancelled,59.99
1022,2025-01-26,522,99,Wireless Earbuds,2,89.99,USD,shipped,179.98
1023,2025-01-27,523,100,Router Wi-Fi 6,1,129.99,USD,shipped,129.99
1024,2025-01-27,524,101,Laptop Cooling Pad,1,24.99,USD,pending,24.99
1025,2025-01-28,525,102,External Hard Drive 2TB,1,89.99,USD,shipped,89.99
1026,2025-01-28,526,103,USB-C to HDMI Adapter,3,19.99,USD,returned,59.97
1027,2025-01-29,527,104,Compact Bluetooth Mouse,2,25.99,USD,shipped,51.98
1028,2025-01-29,528,105,Noise Isolating Earbuds,1,39.99,USD,pending,39.99
1029,2025-01-30,529,106,Power Bank 10000mAh,2,29.99,USD,shipped,59.98
1030,2025-01-30,530,107,"Curved Monitor 27""",1,239.99,USD,shipped,239.99
